time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2012-01-01T00:00:00.0000000Z,2012-01-02T00:00:00.0000000Z,2012-01-01T04:16:14.0000000Z,2012-01-01T22:45:13.0000000Z,4.58,5.0,4.58,5.0,21.602,3
2012-01-02T00:00:00.0000000Z,2012-01-03T00:00:00.0000000Z,2012-01-02T20:04:37.0000000Z,2012-01-02T20:04:37.0000000Z,5.0,5.0,5.0,5.0,19.048,1
2012-01-03T00:00:00.0000000Z,2012-01-04T00:00:00.0000000Z,2012-01-03T11:45:37.0000000Z,2012-01-03T17:27:43.0000000Z,5.32,5.32,5.14,5.29,88.03728092,8
2012-01-04T00:00:00.0000000Z,2012-01-05T00:00:00.0000000Z,2012-01-04T04:17:56.0000000Z,2012-01-04T17:51:57.0000000Z,4.93,5.57,4.93,5.37,107.23326023,20
2012-01-05T00:00:00.0000000Z,2012-01-06T00:00:00.0000000Z,2012-01-05T01:40:09.0000000Z,2012-01-05T23:46:01.0000000Z,5.72,6.65,5.72,6.65,94.80182926,29
2012-01-06T00:00:00.0000000Z,2012-01-07T00:00:00.0000000Z,2012-01-06T06:02:28.0000000Z,2012-01-06T20:22:48.0000000Z,6.65,6.9,6.0,6.0,33.88274671,21
2012-01-07T00:00:00.0000000Z,2012-01-08T00:00:00.0000000Z,2012-01-07T18:14:19.0000000Z,2012-01-07T18:14:19.0000000Z,6.8,6.8,6.8,6.8,0.29585799,1
2012-01-08T00:00:00.0000000Z,2012-01-09T00:00:00.0000000Z,2012-01-08T14:20:51.0000000Z,2012-01-08T23:31:23.0000000Z,6.9,7.0,6.9,7.0,5.0,2
2012-01-09T00:00:00.0000000Z,2012-01-10T00:00:00.0000000Z,2012-01-09T04:40:29.0000000Z,2012-01-09T22:57:05.0000000Z,6.99,6.99,6.23,6.3,66.8693229,39
2012-01-10T00:00:00.0000000Z,2012-01-11T00:00:00.0000000Z,2012-01-10T09:56:04.0000000Z,2012-01-10T22:57:26.0000000Z,6.24,7.14,6.24,7.14,62.28998018,33
2012-01-11T00:00:00.0000000Z,2012-01-12T00:00:00.0000000Z,2012-01-11T07:05:27.0000000Z,2012-01-11T21:15:44.0000000Z,7.14,7.33,6.25,7.0,105.35893402,51
2012-01-12T00:00:00.0000000Z,2012-01-13T00:00:00.0000000Z,2012-01-12T03:04:50.0000000Z,2012-01-12T18:13:36.0000000Z,6.95,7.38,6.51,6.51,82.30163181,14
2012-01-13T00:00:00.0000000Z,2012-01-14T00:00:00.0000000Z,2012-01-13T02:00:36.0000000Z,2012-01-13T23:57:45.0000000Z,6.8,7.36,6.6,6.6,48.97014484,45
2012-01-14T00:00:00.0000000Z,2012-01-15T00:00:00.0000000Z,2012-01-14T00:41:55.0000000Z,2012-01-14T20:45:49.0000000Z,6.5,6.5,6.3,6.3,16.836,12
2012-01-15T00:00:00.0000000Z,2012-01-16T00:00:00.0000000Z,2012-01-15T10:25:32.0000000Z,2012-01-15T10:30:20.0000000Z,7.15,7.15,7.15,7.15,16.6993007,6
2012-01-16T00:00:00.0000000Z,2012-01-17T00:00:00.0000000Z,2012-01-16T15:50:54.0000000Z,2012-01-16T17:49:03.0000000Z,6.2,7.1,6.2,7.1,12.64929577,8
2012-01-17T00:00:00.0000000Z,2012-01-18T00:00:00.0000000Z,2012-01-17T12:05:57.0000000Z,2012-01-17T23:02:40.0000000Z,6.5,6.9,6.0,6.0,80.51400824,27
2012-01-18T00:00:00.0000000Z,2012-01-19T00:00:00.0000000Z,2012-01-18T01:15:42.0000000Z,2012-01-18T14:48:33.0000000Z,5.99,7.1,5.99,7.1,133.44676912,47
2012-01-19T00:00:00.0000000Z,2012-01-20T00:00:00.0000000Z,2012-01-19T06:12:00.0000000Z,2012-01-19T23:25:03.0000000Z,5.52,7.0,5.52,6.22,246.71581895,21
2012-01-20T00:00:00.0000000Z,2012-01-21T00:00:00.0000000Z,2012-01-20T07:42:30.0000000Z,2012-01-20T15:33:17.0000000Z,6.9,6.95,6.55,6.95,95.82599863,12
2012-01-21T00:00:00.0000000Z,2012-01-22T00:00:00.0000000Z,2012-01-21T20:03:48.0000000Z,2012-01-21T21:41:59.0000000Z,6.3,6.77,6.28,6.77,81.41385241,6
2012-01-22T00:00:00.0000000Z,2012-01-23T00:00:00.0000000Z,2012-01-22T07:42:32.0000000Z,2012-01-22T20:55:52.0000000Z,6.79,6.83,6.03,6.79,81.27103303,13
2012-01-23T00:00:00.0000000Z,2012-01-24T00:00:00.0000000Z,2012-01-23T09:35:05.0000000Z,2012-01-23T18:19:48.0000000Z,6.5,6.52,6.0,6.52,94.92062909,14
2012-01-24T00:00:00.0000000Z,2012-01-25T00:00:00.0000000Z,2012-01-24T02:21:00.0000000Z,2012-01-24T18:44:58.0000000Z,6.52,6.57,6.0,6.55,85.44624147,18
2012-01-25T00:00:00.0000000Z,2012-01-26T00:00:00.0000000Z,2012-01-25T09:03:29.0000000Z,2012-01-25T21:37:14.0000000Z,6.26,6.86,6.0,6.31,81.1232564,41
2012-01-26T00:00:00.0000000Z,2012-01-27T00:00:00.0000000Z,2012-01-26T14:33:41.0000000Z,2012-01-26T23:03:49.0000000Z,6.27,6.3,5.5,5.5,29.91907058,19
2012-01-27T00:00:00.0000000Z,2012-01-28T00:00:00.0000000Z,2012-01-27T01:58:26.0000000Z,2012-01-27T16:14:37.0000000Z,3.8,6.03,3.8,5.88,92.07999287,42
2012-01-28T00:00:00.0000000Z,2012-01-29T00:00:00.0000000Z,2012-01-28T04:04:45.0000000Z,2012-01-28T04:04:45.0000000Z,4.91,4.91,4.91,4.91,0.25,1
