time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2012-01-01T04:00:00.0000000Z,2012-01-01T08:00:00.0000000Z,2012-01-01T04:16:14.0000000Z,2012-01-01T04:16:14.0000000Z,4.58,4.58,4.58,4.58,1.502,1
2012-01-01T12:00:00.0000000Z,2012-01-01T16:00:00.0000000Z,2012-01-01T15:28:14.0000000Z,2012-01-01T15:28:14.0000000Z,4.84,4.84,4.84,4.84,10.0,1
2012-01-01T20:00:00.0000000Z,2012-01-02T00:00:00.0000000Z,2012-01-01T22:45:13.0000000Z,2012-01-01T22:45:13.0000000Z,5.0,5.0,5.0,5.0,10.1,1
2012-01-02T20:00:00.0000000Z,2012-01-03T00:00:00.0000000Z,2012-01-02T20:04:37.0000000Z,2012-01-02T20:04:37.0000000Z,5.0,5.0,5.0,5.0,19.048,1
2012-01-03T08:00:00.0000000Z,2012-01-03T12:00:00.0000000Z,2012-01-03T11:45:37.0000000Z,2012-01-03T11:45:37.0000000Z,5.32,5.32,5.32,5.32,2.41917293,1
2012-01-03T12:00:00.0000000Z,2012-01-03T16:00:00.0000000Z,2012-01-03T14:22:15.0000000Z,2012-01-03T15:32:33.0000000Z,5.14,5.29,5.14,5.29,59.3018491,3
2012-01-03T16:00:00.0000000Z,2012-01-03T20:00:00.0000000Z,2012-01-03T17:10:03.0000000Z,2012-01-03T17:27:43.0000000Z,5.29,5.29,5.14,5.29,26.31625889,4
2012-01-04T04:00:00.0000000Z,2012-01-04T08:00:00.0000000Z,2012-01-04T04:17:56.0000000Z,2012-01-04T05:05:07.0000000Z,4.93,4.93,4.93,4.93,12.0,2
2012-01-04T12:00:00.0000000Z,2012-01-04T16:00:00.0000000Z,2012-01-04T12:41:04.0000000Z,2012-01-04T15:54:29.0000000Z,5.19,5.32,5.19,5.32,38.29164173,6
2012-01-04T16:00:00.0000000Z,2012-01-04T20:00:00.0000000Z,2012-01-04T16:00:14.0000000Z,2012-01-04T17:51:57.0000000Z,5.36,5.57,5.36,5.37,56.9416185,12
2012-01-05T00:00:00.0000000Z,2012-01-05T04:00:00.0000000Z,2012-01-05T01:40:09.0000000Z,2012-01-05T03:52:53.0000000Z,5.72,5.75,5.72,5.75,10.2,5
2012-01-05T04:00:00.0000000Z,2012-01-05T08:00:00.0000000Z,2012-01-05T07:19:27.0000000Z,2012-01-05T07:19:46.0000000Z,5.75,5.79,5.75,5.79,14.8,3
2012-01-05T08:00:00.0000000Z,2012-01-05T12:00:00.0000000Z,2012-01-05T08:58:32.0000000Z,2012-01-05T11:28:20.0000000Z,6.0,6.46,6.0,6.43,44.24009389,12
2012-01-05T12:00:00.0000000Z,2012-01-05T16:00:00.0000000Z,2012-01-05T13:07:18.0000000Z,2012-01-05T14:31:53.0000000Z,6.44,6.44,6.42,6.42,1.08864848,3
2012-01-05T20:00:00.0000000Z,2012-01-06T00:00:00.0000000Z,2012-01-05T22:50:07.0000000Z,2012-01-05T23:46:01.0000000Z,6.43,6.65,6.43,6.65,24.47308689,6
2012-01-06T04:00:00.0000000Z,2012-01-06T08:00:00.0000000Z,2012-01-06T06:02:28.0000000Z,2012-01-06T06:04:39.0000000Z,6.65,6.73,6.65,6.69,7.73549766,4
2012-01-06T12:00:00.0000000Z,2012-01-06T16:00:00.0000000Z,2012-01-06T13:20:27.0000000Z,2012-01-06T15:37:36.0000000Z,6.8,6.9,6.49,6.49,11.64724905,8
2012-01-06T16:00:00.0000000Z,2012-01-06T20:00:00.0000000Z,2012-01-06T16:37:17.0000000Z,2012-01-06T18:42:32.0000000Z,6.4,6.4,6.4,6.4,12.0,4
2012-01-06T20:00:00.0000000Z,2012-01-07T00:00:00.0000000Z,2012-01-06T20:18:56.0000000Z,2012-01-06T20:22:48.0000000Z,6.3,6.3,6.0,6.0,2.5,5
2012-01-07T16:00:00.0000000Z,2012-01-07T20:00:00.0000000Z,2012-01-07T18:14:19.0000000Z,2012-01-07T18:14:19.0000000Z,6.8,6.8,6.8,6.8,0.29585799,1
2012-01-08T12:00:00.0000000Z,2012-01-08T16:00:00.0000000Z,2012-01-08T14:20:51.0000000Z,2012-01-08T14:20:51.0000000Z,6.9,6.9,6.9,6.9,4.0,1
2012-01-08T20:00:00.0000000Z,2012-01-09T00:00:00.0000000Z,2012-01-08T23:31:23.0000000Z,2012-01-08T23:31:23.0000000Z,7.0,7.0,7.0,7.0,1.0,1
2012-01-09T04:00:00.0000000Z,2012-01-09T08:00:00.0000000Z,2012-01-09T04:40:29.0000000Z,2012-01-09T04:40:57.0000000Z,6.99,6.99,6.9,6.9,5.0,2
2012-01-09T12:00:00.0000000Z,2012-01-09T16:00:00.0000000Z,2012-01-09T12:04:03.0000000Z,2012-01-09T15:58:21.0000000Z,6.9,6.9,6.5,6.6,50.37539481,26
2012-01-09T16:00:00.0000000Z,2012-01-09T20:00:00.0000000Z,2012-01-09T16:00:32.0000000Z,2012-01-09T19:44:20.0000000Z,6.6,6.6,6.23,6.23,10.49392809,10
2012-01-09T20:00:00.0000000Z,2012-01-10T00:00:00.0000000Z,2012-01-09T22:57:05.0000000Z,2012-01-09T22:57:05.0000000Z,6.3,6.3,6.3,6.3,1.0,1
2012-01-10T08:00:00.0000000Z,2012-01-10T12:00:00.0000000Z,2012-01-10T09:56:04.0000000Z,2012-01-10T10:42:35.0000000Z,6.24,6.4,6.24,6.4,10.25,7
2012-01-10T12:00:00.0000000Z,2012-01-10T16:00:00.0000000Z,2012-01-10T13:00:37.0000000Z,2012-01-10T15:44:02.0000000Z,6.54,6.7,6.54,6.55,40.29546209,20
2012-01-10T16:00:00.0000000Z,2012-01-10T20:00:00.0000000Z,2012-01-10T18:12:53.0000000Z,2012-01-10T18:15:22.0000000Z,7.1,7.1,7.1,7.1,7.14647887,4
2012-01-10T20:00:00.0000000Z,2012-01-11T00:00:00.0000000Z,2012-01-10T22:57:26.0000000Z,2012-01-10T22:57:26.0000000Z,7.14,7.14,7.14,7.14,4.59803922,2
2012-01-11T04:00:00.0000000Z,2012-01-11T08:00:00.0000000Z,2012-01-11T07:05:27.0000000Z,2012-01-11T07:20:07.0000000Z,7.14,7.14,7.14,7.14,21.46078431,15
2012-01-11T08:00:00.0000000Z,2012-01-11T12:00:00.0000000Z,2012-01-11T08:12:59.0000000Z,2012-01-11T09:46:06.0000000Z,6.25,7.0,6.25,7.0,12.0,3
2012-01-11T12:00:00.0000000Z,2012-01-11T16:00:00.0000000Z,2012-01-11T12:35:46.0000000Z,2012-01-11T15:02:05.0000000Z,7.2,7.33,6.9,6.9,50.293864,29
2012-01-11T16:00:00.0000000Z,2012-01-11T20:00:00.0000000Z,2012-01-11T18:39:23.0000000Z,2012-01-11T18:39:24.0000000Z,7.0,7.0,7.0,7.0,4.97428571,2
2012-01-11T20:00:00.0000000Z,2012-01-12T00:00:00.0000000Z,2012-01-11T21:12:21.0000000Z,2012-01-11T21:15:44.0000000Z,7.0,7.0,7.0,7.0,16.63,2
2012-01-12T00:00:00.0000000Z,2012-01-12T04:00:00.0000000Z,2012-01-12T03:04:50.0000000Z,2012-01-12T03:04:50.0000000Z,6.95,6.95,6.95,6.95,8.8,1
2012-01-12T08:00:00.0000000Z,2012-01-12T12:00:00.0000000Z,2012-01-12T10:18:42.0000000Z,2012-01-12T10:18:42.0000000Z,7.3,7.3,7.3,7.3,9.54109589,1
2012-01-12T12:00:00.0000000Z,2012-01-12T16:00:00.0000000Z,2012-01-12T12:53:30.0000000Z,2012-01-12T15:34:56.0000000Z,7.3,7.38,6.6,6.6,61.89754272,10
2012-01-12T16:00:00.0000000Z,2012-01-12T20:00:00.0000000Z,2012-01-12T17:58:54.0000000Z,2012-01-12T18:13:36.0000000Z,7.35,7.35,6.51,6.51,2.0629932,2
2012-01-13T00:00:00.0000000Z,2012-01-13T04:00:00.0000000Z,2012-01-13T02:00:36.0000000Z,2012-01-13T02:00:36.0000000Z,6.8,6.8,6.8,6.8,1.0,1
2012-01-13T04:00:00.0000000Z,2012-01-13T08:00:00.0000000Z,2012-01-13T04:55:12.0000000Z,2012-01-13T04:55:12.0000000Z,6.7,6.7,6.7,6.7,1.0,1
2012-01-13T12:00:00.0000000Z,2012-01-13T16:00:00.0000000Z,2012-01-13T12:03:35.0000000Z,2012-01-13T14:31:14.0000000Z,6.7,7.36,6.7,6.9,21.00816655,24
2012-01-13T16:00:00.0000000Z,2012-01-13T20:00:00.0000000Z,2012-01-13T17:11:41.0000000Z,2012-01-13T19:52:15.0000000Z,6.9,6.9,6.7,6.7,11.61865396,10
2012-01-13T20:00:00.0000000Z,2012-01-14T00:00:00.0000000Z,2012-01-13T20:05:21.0000000Z,2012-01-13T23:57:45.0000000Z,7.25,7.34,6.6,6.6,14.34332433,9
2012-01-14T00:00:00.0000000Z,2012-01-14T04:00:00.0000000Z,2012-01-14T00:41:55.0000000Z,2012-01-14T01:09:44.0000000Z,6.5,6.5,6.4,6.4,12.6,8
2012-01-14T20:00:00.0000000Z,2012-01-15T00:00:00.0000000Z,2012-01-14T20:42:34.0000000Z,2012-01-14T20:45:49.0000000Z,6.3,6.3,6.3,6.3,4.236,4
2012-01-15T08:00:00.0000000Z,2012-01-15T12:00:00.0000000Z,2012-01-15T10:25:32.0000000Z,2012-01-15T10:30:20.0000000Z,7.15,7.15,7.15,7.15,16.6993007,6
2012-01-16T12:00:00.0000000Z,2012-01-16T16:00:00.0000000Z,2012-01-16T15:50:54.0000000Z,2012-01-16T15:52:19.0000000Z,6.2,6.2,6.2,6.2,3.4,3
2012-01-16T16:00:00.0000000Z,2012-01-16T20:00:00.0000000Z,2012-01-16T17:45:55.0000000Z,2012-01-16T17:49:03.0000000Z,7.1,7.1,7.1,7.1,9.24929577,5
2012-01-17T12:00:00.0000000Z,2012-01-17T16:00:00.0000000Z,2012-01-17T12:05:57.0000000Z,2012-01-17T15:04:22.0000000Z,6.5,6.9,6.5,6.9,11.24637681,4
2012-01-17T20:00:00.0000000Z,2012-01-18T00:00:00.0000000Z,2012-01-17T22:33:41.0000000Z,2012-01-17T23:02:40.0000000Z,6.4,6.4,6.0,6.0,69.26763143,23
2012-01-18T00:00:00.0000000Z,2012-01-18T04:00:00.0000000Z,2012-01-18T01:15:42.0000000Z,2012-01-18T03:33:00.0000000Z,5.99,6.3,5.99,6.02,85.94050167,26
2012-01-18T08:00:00.0000000Z,2012-01-18T12:00:00.0000000Z,2012-01-18T08:28:08.0000000Z,2012-01-18T08:57:26.0000000Z,6.5,6.5,6.5,6.5,30.08264426,17
2012-01-18T12:00:00.0000000Z,2012-01-18T16:00:00.0000000Z,2012-01-18T13:26:34.0000000Z,2012-01-18T14:48:33.0000000Z,6.0,7.1,6.0,7.1,17.42362319,4
2012-01-19T04:00:00.0000000Z,2012-01-19T08:00:00.0000000Z,2012-01-19T06:12:00.0000000Z,2012-01-19T06:12:00.0000000Z,5.52,5.52,5.52,5.52,2.0,1
2012-01-19T08:00:00.0000000Z,2012-01-19T12:00:00.0000000Z,2012-01-19T09:51:59.0000000Z,2012-01-19T11:01:11.0000000Z,7.0,7.0,6.09,6.09,91.46186428,4
2012-01-19T16:00:00.0000000Z,2012-01-19T20:00:00.0000000Z,2012-01-19T17:12:09.0000000Z,2012-01-19T19:21:37.0000000Z,7.0,7.0,6.01,6.07,76.50893719,13
